City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
117,fort nelson,58.8053,-122.7002,2.77,81,75,3.09,CA,1680963497
118,najran,17.4924,44.1277,27.36,30,48,4.26,SA,1680963433
119,santo tomas,14.1079,121.1414,27.14,82,67,3.49,PH,1680963561
120,milton,34.1322,-84.3007,8.12,93,100,1.34,US,1680963323
121,hambantota,6.1241,81.1185,28.37,68,100,5.16,LK,1680963561
122,beringovskiy,63.05,179.3167,-20.27,99,61,2.14,RU,1680963561
123,west plains,36.7281,-91.8524,10.12,51,0,5.66,US,1680963562
124,qaanaaq,77.484,-69.3632,-24.57,72,0,1.69,GL,1680963478
125,narsaq,60.9167,-46.05,2.12,63,25,0.39,GL,1680963447
126,naica,27.85,-105.4833,13.58,60,0,0.92,MX,1680963563
127,hobart,-42.8794,147.3294,7.92,84,75,8.75,AU,1680963371
128,emerald,-23.5333,148.1667,19.08,54,0,4.46,AU,1680963563
129,cabo san lucas,22.8909,-109.9124,20.28,51,2,2.18,MX,1680963393
130,bengkulu,-3.8004,102.2655,25.12,88,82,1.81,ID,1680963475
131,sur,22.5667,59.5289,28.06,55,61,2.74,OM,1680963564
132,kirakira,-10.4544,161.9205,26.78,85,8,2.17,SB,1680963564
133,ciro marina,39.3732,17.126,15.93,59,83,6.12,IT,1680963564
134,portobelo,9.55,-79.65,25.74,78,46,4.38,PA,1680963427
135,sobolevo,54.4299,31.8996,12.18,45,99,2.22,RU,1680963420
136,hervey bay,-25.2986,152.8535,21.84,48,0,3.55,AU,1680963564
137,fort wellington,6.4,-57.6,28.12,61,74,3.64,GY,1680963565
138,enid,36.3956,-97.8784,12.79,45,0,4.12,US,1680963565
139,tual,-5.6667,132.75,28.55,74,100,5.63,ID,1680963565
140,sitka,57.0531,-135.33,6.94,57,100,7.72,US,1680963558
141,pryazha,61.6926,33.6216,7.57,79,16,1.35,RU,1680963566
142,ferrol,43.4832,-8.2369,21.24,62,100,2.57,ES,1680963566
143,rocha,-34.4833,-54.3333,22.27,55,3,2.35,UY,1680963566
144,severo-kurilsk,50.6789,156.125,2.13,99,100,4.4,RU,1680963419
145,korla,41.7597,86.1469,15.6,17,0,2.86,CN,1680963567
146,namibe,-15.1961,12.1522,26.36,71,85,5.62,AO,1680963478
147,mar del plata,-38.0023,-57.5575,22.75,69,0,7.2,AR,1680963567
148,manacapuru,-3.2997,-60.6206,27.89,75,99,2.37,BR,1680963479
149,vila velha,-20.3297,-40.2925,31.97,66,20,4.12,BR,1680963446
150,karasjok,69.4719,25.5112,1.95,99,35,1.68,NO,1680963568
